Dataset,Model,Model architecture,Model index,Model params,Other params,Training time,Inference time,MAE,MAPE,MSE,RMSE,WAPE
Oct19-Sep20-Oct20-Dic20_F1Last,LSTM_9,LSTM,9,"{""batch_size"": 512, ""dense_layers"": [], ""epochs"": 100, ""input_shape"": [529860, 60, 1], ""layers"": 2, ""output_size"": 30, ""return_sequence"": false, ""units"": 32}","{""Forecasting horizon"": 30, ""Past history"": 60, ""Scaler"": ""MinMaxScaler"", ""Data frequency"": ""1min"", ""Number days test"": 90}",1801.48699164,1.37642503,0.71616833,0.00402394,1.30528419,0.87213207,0.00402403
Oct19-Sep20-Oct20-Dic20_F1Last,LSTM_10,LSTM,10,"{""batch_size"": 512, ""dense_layers"": [], ""epochs"": 100, ""input_shape"": [529860, 60, 1], ""layers"": 2, ""output_size"": 30, ""return_sequence"": false, ""units"": 64}","{""Forecasting horizon"": 30, ""Past history"": 60, ""Scaler"": ""MinMaxScaler"", ""Data frequency"": ""1min"", ""Number days test"": 90}",2114.56123757,1.69410515,0.70998066,0.00400254,1.29952818,0.86906779,0.00400271
Oct19-Sep20-Oct20-Dic20_F1Last,LSTM_11,LSTM,11,"{""batch_size"": 512, ""dense_layers"": [], ""epochs"": 100, ""input_shape"": [529860, 60, 1], ""layers"": 2, ""output_size"": 30, ""return_sequence"": false, ""units"": 128}","{""Forecasting horizon"": 30, ""Past history"": 60, ""Scaler"": ""MinMaxScaler"", ""Data frequency"": ""1min"", ""Number days test"": 90}",1982.62141180,1.52246237,0.69103777,0.00394153,1.28306412,0.85593229,0.00394176
Oct19-Sep20-Oct20-Dic20_F1Last,LSTM_12,LSTM,12,"{""batch_size"": 512, ""dense_layers"": [], ""epochs"": 100, ""input_shape"": [529860, 60, 1], ""layers"": 3, ""output_size"": 30, ""return_sequence"": true, ""units"": 32}","{""Forecasting horizon"": 30, ""Past history"": 60, ""Scaler"": ""MinMaxScaler"", ""Data frequency"": ""1min"", ""Number days test"": 90}",2555.01219654,1.19354892,0.71783262,0.00401836,1.30277239,0.87231723,0.00401889
Oct19-Sep20-Oct20-Dic20_F1Last,LSTM_13,LSTM,13,"{""batch_size"": 512, ""dense_layers"": [], ""epochs"": 100, ""input_shape"": [529860, 60, 1], ""layers"": 3, ""output_size"": 30, ""return_sequence"": true, ""units"": 64}","{""Forecasting horizon"": 30, ""Past history"": 60, ""Scaler"": ""MinMaxScaler"", ""Data frequency"": ""1min"", ""Number days test"": 90}",2579.23365569,1.48735023,0.71786639,0.00402183,1.30298507,0.87188220,0.00402224
Oct19-Sep20-Oct20-Dic20_F1Last,LSTM_14,LSTM,14,"{""batch_size"": 512, ""dense_layers"": [], ""epochs"": 100, ""input_shape"": [529860, 60, 1], ""layers"": 3, ""output_size"": 30, ""return_sequence"": true, ""units"": 128}","{""Forecasting horizon"": 30, ""Past history"": 60, ""Scaler"": ""MinMaxScaler"", ""Data frequency"": ""1min"", ""Number days test"": 90}",2588.16712761,1.90566421,0.71999197,0.00402250,1.29969615,0.87475526,0.00402300
Oct19-Sep20-Oct20-Dic20_F1Last,LSTM_15,LSTM,15,"{""batch_size"": 512, ""dense_layers"": [], ""epochs"": 100, ""input_shape"": [529860, 60, 1], ""layers"": 3, ""output_size"": 30, ""return_sequence"": false, ""units"": 32}","{""Forecasting horizon"": 30, ""Past history"": 60, ""Scaler"": ""MinMaxScaler"", ""Data frequency"": ""1min"", ""Number days test"": 90}",2431.95465946,1.61188984,0.71636616,0.00401337,1.29646551,0.87123379,0.00401365
Oct19-Sep20-Oct20-Dic20_F1Last,LSTM_16,LSTM,16,"{""batch_size"": 512, ""dense_layers"": [], ""epochs"": 100, ""input_shape"": [529860, 60, 1], ""layers"": 3, ""output_size"": 30, ""return_sequence"": false, ""units"": 64}","{""Forecasting horizon"": 30, ""Past history"": 60, ""Scaler"": ""MinMaxScaler"", ""Data frequency"": ""1min"", ""Number days test"": 90}",2502.33858871,2.08038521,0.69931694,0.00398147,1.29198914,0.86160974,0.00398170
Oct19-Sep20-Oct20-Dic20_F1Last,LSTM_17,LSTM,17,"{""batch_size"": 512, ""dense_layers"": [], ""epochs"": 100, ""input_shape"": [529860, 60, 1], ""layers"": 3, ""output_size"": 30, ""return_sequence"": false, ""units"": 128}","{""Forecasting horizon"": 30, ""Past history"": 60, ""Scaler"": ""MinMaxScaler"", ""Data frequency"": ""1min"", ""Number days test"": 90}",2519.46672225,1.92066765,0.69490980,0.00395807,1.28476139,0.85861394,0.00395863
Oct19-Sep20-Oct20-Dic20_F1Last,LinearRegression_0,LinearRegression,0,"{""n_jobs"": -1}","{""Forecasting horizon"": 30, ""Past history"": 120, ""Scaler"": ""MinMaxScaler"", ""Data frequency"": ""1min"", ""Number days test"": 90}",4.41490102,0.09825397,0.72412247,0.00400311,1.25288555,0.86087065,0.00400363
Oct19-Sep20-Oct20-Dic20_F1Last,LSTM_0,LSTM,0,"{""batch_size"": 512, ""dense_layers"": [], ""epochs"": 100, ""input_shape"": [529800, 120, 1], ""layers"": 1, ""output_size"": 30, ""return_sequence"": true, ""units"": 32}","{""Forecasting horizon"": 30, ""Past history"": 120, ""Scaler"": ""MinMaxScaler"", ""Data frequency"": ""1min"", ""Number days test"": 90}",1414.28859544,1.05102682,0.71289581,0.00399433,1.28890624,0.86662246,0.00399466
Oct19-Sep20-Oct20-Dic20_F1Last,LSTM_1,LSTM,1,"{""batch_size"": 512, ""dense_layers"": [], ""epochs"": 100, ""input_shape"": [529800, 120, 1], ""layers"": 1, ""output_size"": 30, ""return_sequence"": true, ""units"": 64}","{""Forecasting horizon"": 30, ""Past history"": 120, ""Scaler"": ""MinMaxScaler"", ""Data frequency"": ""1min"", ""Number days test"": 90}",1807.36899710,1.53205323,0.71428177,0.00399689,1.29000990,0.86823113,0.00399720
Oct19-Sep20-Oct20-Dic20_F1Last,LSTM_2,LSTM,2,"{""batch_size"": 512, ""dense_layers"": [], ""epochs"": 100, ""input_shape"": [529800, 120, 1], ""layers"": 1, ""output_size"": 30, ""return_sequence"": true, ""units"": 128}","{""Forecasting horizon"": 30, ""Past history"": 120, ""Scaler"": ""MinMaxScaler"", ""Data frequency"": ""1min"", ""Number days test"": 90}",2029.30719924,1.27072358,0.71563979,0.00400323,1.29474035,0.86985658,0.00400359
Oct19-Sep20-Oct20-Dic20_F1Last,LSTM_3,LSTM,3,"{""batch_size"": 512, ""dense_layers"": [], ""epochs"": 100, ""input_shape"": [529800, 120, 1], ""layers"": 1, ""output_size"": 30, ""return_sequence"": false, ""units"": 32}","{""Forecasting horizon"": 30, ""Past history"": 120, ""Scaler"": ""MinMaxScaler"", ""Data frequency"": ""1min"", ""Number days test"": 90}",1568.51456070,1.19106174,0.71095172,0.00397363,1.27305692,0.86372775,0.00397373
Oct19-Sep20-Oct20-Dic20_F1Last,LSTM_4,LSTM,4,"{""batch_size"": 512, ""dense_layers"": [], ""epochs"": 100, ""input_shape"": [529800, 120, 1], ""layers"": 1, ""output_size"": 30, ""return_sequence"": false, ""units"": 64}","{""Forecasting horizon"": 30, ""Past history"": 120, ""Scaler"": ""MinMaxScaler"", ""Data frequency"": ""1min"", ""Number days test"": 90}",1700.28070474,1.79193401,0.70024409,0.00395701,1.27449922,0.86012840,0.00395746
Oct19-Sep20-Oct20-Dic20_F1Last,LSTM_5,LSTM,5,"{""batch_size"": 512, ""dense_layers"": [], ""epochs"": 100, ""input_shape"": [529800, 120, 1], ""layers"": 1, ""output_size"": 30, ""return_sequence"": false, ""units"": 128}","{""Forecasting horizon"": 30, ""Past history"": 120, ""Scaler"": ""MinMaxScaler"", ""Data frequency"": ""1min"", ""Number days test"": 90}",1717.13304925,1.93493676,0.68727925,0.00392112,1.25734102,0.84941994,0.00392139
Oct19-Sep20-Oct20-Dic20_F1Last,LSTM_6,LSTM,6,"{""batch_size"": 512, ""dense_layers"": [], ""epochs"": 100, ""input_shape"": [529800, 120, 1], ""layers"": 2, ""output_size"": 30, ""return_sequence"": true, ""units"": 32}","{""Forecasting horizon"": 30, ""Past history"": 120, ""Scaler"": ""MinMaxScaler"", ""Data frequency"": ""1min"", ""Number days test"": 90}",2488.10162067,2.10491967,0.71020656,0.00397169,1.27101684,0.86309700,0.00397198
Oct19-Sep20-Oct20-Dic20_F1Last,LSTM_7,LSTM,7,"{""batch_size"": 512, ""dense_layers"": [], ""epochs"": 100, ""input_shape"": [529800, 120, 1], ""layers"": 2, ""output_size"": 30, ""return_sequence"": true, ""units"": 64}","{""Forecasting horizon"": 30, ""Past history"": 120, ""Scaler"": ""MinMaxScaler"", ""Data frequency"": ""1min"", ""Number days test"": 90}",2507.15890598,1.77312255,0.70065825,0.00393693,1.24664249,0.85549721,0.00393698
Oct19-Sep20-Oct20-Dic20_F1Last,LSTM_8,LSTM,8,"{""batch_size"": 512, ""dense_layers"": [], ""epochs"": 100, ""input_shape"": [529800, 120, 1], ""layers"": 2, ""output_size"": 30, ""return_sequence"": true, ""units"": 128}","{""Forecasting horizon"": 30, ""Past history"": 120, ""Scaler"": ""MinMaxScaler"", ""Data frequency"": ""1min"", ""Number days test"": 90}",2831.64546704,1.99684072,0.68833779,0.00390142,1.22911340,0.84674642,0.00390159
Oct19-Sep20-Oct20-Dic20_F1Last,LSTM_9,LSTM,9,"{""batch_size"": 512, ""dense_layers"": [], ""epochs"": 100, ""input_shape"": [529800, 120, 1], ""layers"": 2, ""output_size"": 30, ""return_sequence"": false, ""units"": 32}","{""Forecasting horizon"": 30, ""Past history"": 120, ""Scaler"": ""MinMaxScaler"", ""Data frequency"": ""1min"", ""Number days test"": 90}",2551.62927723,1.55037928,0.70639528,0.00396507,1.26438390,0.85931070,0.00396514
Oct19-Sep20-Oct20-Dic20_F1Last,LSTM_10,LSTM,10,"{""batch_size"": 512, ""dense_layers"": [], ""epochs"": 100, ""input_shape"": [529800, 120, 1], ""layers"": 2, ""output_size"": 30, ""return_sequence"": false, ""units"": 64}","{""Forecasting horizon"": 30, ""Past history"": 120, ""Scaler"": ""MinMaxScaler"", ""Data frequency"": ""1min"", ""Number days test"": 90}",2558.16049457,1.61542678,0.68613386,0.00391065,1.25234373,0.84776152,0.00391082
Oct19-Sep20-Oct20-Dic20_F1Last,LSTM_11,LSTM,11,"{""batch_size"": 512, ""dense_layers"": [], ""epochs"": 100, ""input_shape"": [529800, 120, 1], ""layers"": 2, ""output_size"": 30, ""return_sequence"": false, ""units"": 128}","{""Forecasting horizon"": 30, ""Past history"": 120, ""Scaler"": ""MinMaxScaler"", ""Data frequency"": ""1min"", ""Number days test"": 90}",2605.50095606,2.07812905,0.68709650,0.00391816,1.27144650,0.85191790,0.00391857
Oct19-Sep20-Oct20-Dic20_F1Last,LSTM_12,LSTM,12,"{""batch_size"": 512, ""dense_layers"": [], ""epochs"": 100, ""input_shape"": [529800, 120, 1], ""layers"": 3, ""output_size"": 30, ""return_sequence"": true, ""units"": 32}","{""Forecasting horizon"": 30, ""Past history"": 120, ""Scaler"": ""MinMaxScaler"", ""Data frequency"": ""1min"", ""Number days test"": 90}",3526.66905951,2.37573218,0.71003042,0.00396657,1.26413948,0.86180732,0.00396679
Oct19-Sep20-Oct20-Dic20_F1Last,LSTM_13,LSTM,13,"{""batch_size"": 512, ""dense_layers"": [], ""epochs"": 100, ""input_shape"": [529800, 120, 1], ""layers"": 3, ""output_size"": 30, ""return_sequence"": true, ""units"": 64}","{""Forecasting horizon"": 30, ""Past history"": 120, ""Scaler"": ""MinMaxScaler"", ""Data frequency"": ""1min"", ""Number days test"": 90}",3256.22317553,2.48364687,0.68842160,0.00389732,1.22897927,0.84567942,0.00389770
Oct19-Sep20-Oct20-Dic20_F1Last,LSTM_14,LSTM,14,"{""batch_size"": 512, ""dense_layers"": [], ""epochs"": 100, ""input_shape"": [529800, 120, 1], ""layers"": 3, ""output_size"": 30, ""return_sequence"": true, ""units"": 128}","{""Forecasting horizon"": 30, ""Past history"": 120, ""Scaler"": ""MinMaxScaler"", ""Data frequency"": ""1min"", ""Number days test"": 90}",3697.70615292,2.56180620,0.69888060,0.00394600,1.24786273,0.85300865,0.00394616
Oct19-Sep20-Oct20-Dic20_F1Last,LSTM_15,LSTM,15,"{""batch_size"": 512, ""dense_layers"": [], ""epochs"": 100, ""input_shape"": [529800, 120, 1], ""layers"": 3, ""output_size"": 30, ""return_sequence"": false, ""units"": 32}","{""Forecasting horizon"": 30, ""Past history"": 120, ""Scaler"": ""MinMaxScaler"", ""Data frequency"": ""1min"", ""Number days test"": 90}",3028.65454388,2.27951121,0.70414843,0.00395959,1.26044114,0.86111767,0.00395978
Oct19-Sep20-Oct20-Dic20_F1Last,LSTM_16,LSTM,16,"{""batch_size"": 512, ""dense_layers"": [], ""epochs"": 100, ""input_shape"": [529800, 120, 1], ""layers"": 3, ""output_size"": 30, ""return_sequence"": false, ""units"": 64}","{""Forecasting horizon"": 30, ""Past history"": 120, ""Scaler"": ""MinMaxScaler"", ""Data frequency"": ""1min"", ""Number days test"": 90}",3450.22296333,2.36336470,0.68527861,0.00390273,1.25307197,0.84849694,0.00390304
Oct19-Sep20-Oct20-Dic20_F1Last,LSTM_17,LSTM,17,"{""batch_size"": 512, ""dense_layers"": [], ""epochs"": 100, ""input_shape"": [529800, 120, 1], ""layers"": 3, ""output_size"": 30, ""return_sequence"": false, ""units"": 128}","{""Forecasting horizon"": 30, ""Past history"": 120, ""Scaler"": ""MinMaxScaler"", ""Data frequency"": ""1min"", ""Number days test"": 90}",3218.33647180,2.62855697,0.69338761,0.00395034,1.28893341,0.85918204,0.00395062
Oct19-Sep20-Oct20-Dic20_F1Last,LinearRegression_0,LinearRegression,0,"{""n_jobs"": -1}","{""Forecasting horizon"": 30, ""Past history"": 180, ""Scaler"": ""MinMaxScaler"", ""Data frequency"": ""1min"", ""Number days test"": 90}",5.69832945,0.13623071,0.72095027,0.00398838,1.24145415,0.85707886,0.00398882
Oct19-Sep20-Oct20-Dic20_F1Last,LSTM_0,LSTM,0,"{""batch_size"": 512, ""dense_layers"": [], ""epochs"": 100, ""input_shape"": [529740, 180, 1], ""layers"": 1, ""output_size"": 30, ""return_sequence"": true, ""units"": 32}","{""Forecasting horizon"": 30, ""Past history"": 180, ""Scaler"": ""MinMaxScaler"", ""Data frequency"": ""1min"", ""Number days test"": 90}",1656.44048190,1.66291785,0.70774355,0.00394197,1.25150244,0.85942649,0.00394202
Oct19-Sep20-Oct20-Dic20_F1Last,LSTM_1,LSTM,1,"{""batch_size"": 512, ""dense_layers"": [], ""epochs"": 100, ""input_shape"": [529740, 180, 1], ""layers"": 1, ""output_size"": 30, ""return_sequence"": true, ""units"": 64}","{""Forecasting horizon"": 30, ""Past history"": 180, ""Scaler"": ""MinMaxScaler"", ""Data frequency"": ""1min"", ""Number days test"": 90}",1935.72925615,1.89380479,0.70944269,0.00396315,1.26607636,0.86164177,0.00396335
Oct19-Sep20-Oct20-Dic20_F1Last,LSTM_2,LSTM,2,"{""batch_size"": 512, ""dense_layers"": [], ""epochs"": 100, ""input_shape"": [529740, 180, 1], ""layers"": 1, ""output_size"": 30, ""return_sequence"": true, ""units"": 128}","{""Forecasting horizon"": 30, ""Past history"": 180, ""Scaler"": ""MinMaxScaler"", ""Data frequency"": ""1min"", ""Number days test"": 90}",2255.89791870,1.80062699,0.70890518,0.00395662,1.25961822,0.86100492,0.00395673
Oct19-Sep20-Oct20-Dic20_F1Last,LSTM_3,LSTM,3,"{""batch_size"": 512, ""dense_layers"": [], ""epochs"": 100, ""input_shape"": [529740, 180, 1], ""layers"": 1, ""output_size"": 30, ""return_sequence"": false, ""units"": 32}","{""Forecasting horizon"": 30, ""Past history"": 180, ""Scaler"": ""MinMaxScaler"", ""Data frequency"": ""1min"", ""Number days test"": 90}",1468.45791292,1.48750830,0.70971426,0.00396403,1.26474718,0.86208370,0.00396419
Oct19-Sep20-Oct20-Dic20_F1Last,LSTM_4,LSTM,4,"{""batch_size"": 512, ""dense_layers"": [], ""epochs"": 100, ""input_shape"": [529740, 180, 1], ""layers"": 1, ""output_size"": 30, ""return_sequence"": false, ""units"": 64}","{""Forecasting horizon"": 30, ""Past history"": 180, ""Scaler"": ""MinMaxScaler"", ""Data frequency"": ""1min"", ""Number days test"": 90}",1412.18623400,1.50401473,0.68606275,0.00390165,1.24540665,0.84599916,0.00390202
Oct19-Sep20-Oct20-Dic20_F1Last,LSTM_5,LSTM,5,"{""batch_size"": 512, ""dense_layers"": [], ""epochs"": 100, ""input_shape"": [529740, 180, 1], ""layers"": 1, ""output_size"": 30, ""return_sequence"": false, ""units"": 128}","{""Forecasting horizon"": 30, ""Past history"": 180, ""Scaler"": ""MinMaxScaler"", ""Data frequency"": ""1min"", ""Number days test"": 90}",1578.13251853,1.61826706,0.68394219,0.00389141,1.25346913,0.84638124,0.00389158
Oct19-Sep20-Oct20-Dic20_F1Last,LSTM_6,LSTM,6,"{""batch_size"": 512, ""dense_layers"": [], ""epochs"": 100, ""input_shape"": [529740, 180, 1], ""layers"": 2, ""output_size"": 30, ""return_sequence"": true, ""units"": 32}","{""Forecasting horizon"": 30, ""Past history"": 180, ""Scaler"": ""MinMaxScaler"", ""Data frequency"": ""1min"", ""Number days test"": 90}",2549.65549612,2.04215217,0.70771175,0.00393900,1.24899782,0.86086984,0.00393927
Oct19-Sep20-Oct20-Dic20_F1Last,LSTM_7,LSTM,7,"{""batch_size"": 512, ""dense_layers"": [], ""epochs"": 100, ""input_shape"": [529740, 180, 1], ""layers"": 2, ""output_size"": 30, ""return_sequence"": true, ""units"": 64}","{""Forecasting horizon"": 30, ""Past history"": 180, ""Scaler"": ""MinMaxScaler"", ""Data frequency"": ""1min"", ""Number days test"": 90}",3125.51098871,2.41090441,0.69041319,0.00388070,1.21432735,0.84534474,0.00388086
Oct19-Sep20-Oct20-Dic20_F1Last,LSTM_8,LSTM,8,"{""batch_size"": 512, ""dense_layers"": [], ""epochs"": 100, ""input_shape"": [529740, 180, 1], ""layers"": 2, ""output_size"": 30, ""return_sequence"": true, ""units"": 128}","{""Forecasting horizon"": 30, ""Past history"": 180, ""Scaler"": ""MinMaxScaler"", ""Data frequency"": ""1min"", ""Number days test"": 90}",3021.46038461,2.94030738,0.68327335,0.00385999,1.20452669,0.83861475,0.00386000
Oct19-Sep20-Oct20-Dic20_F1Last,LSTM_9,LSTM,9,"{""batch_size"": 512, ""dense_layers"": [], ""epochs"": 100, ""input_shape"": [529740, 180, 1], ""layers"": 2, ""output_size"": 30, ""return_sequence"": false, ""units"": 32}","{""Forecasting horizon"": 30, ""Past history"": 180, ""Scaler"": ""MinMaxScaler"", ""Data frequency"": ""1min"", ""Number days test"": 90}",2667.96493077,2.12224340,0.69425682,0.00391546,1.24432247,0.85110296,0.00391563
Oct19-Sep20-Oct20-Dic20_F1Last,LSTM_10,LSTM,10,"{""batch_size"": 512, ""dense_layers"": [], ""epochs"": 100, ""input_shape"": [529740, 180, 1], ""layers"": 2, ""output_size"": 30, ""return_sequence"": false, ""units"": 64}","{""Forecasting horizon"": 30, ""Past history"": 180, ""Scaler"": ""MinMaxScaler"", ""Data frequency"": ""1min"", ""Number days test"": 90}",2696.05759740,2.29418349,0.68036599,0.00388129,1.23667383,0.84182219,0.00388140
Oct19-Sep20-Oct20-Dic20_F1Last,LSTM_11,LSTM,11,"{""batch_size"": 512, ""dense_layers"": [], ""epochs"": 100, ""input_shape"": [529740, 180, 1], ""layers"": 2, ""output_size"": 30, ""return_sequence"": false, ""units"": 128}","{""Forecasting horizon"": 30, ""Past history"": 180, ""Scaler"": ""MinMaxScaler"", ""Data frequency"": ""1min"", ""Number days test"": 90}",2849.38168931,2.38473654,0.68887353,0.00392279,1.28959669,0.85298737,0.00392294
Oct19-Sep20-Oct20-Dic20_F1Last,LSTM_12,LSTM,12,"{""batch_size"": 512, ""dense_layers"": [], ""epochs"": 100, ""input_shape"": [529740, 180, 1], ""layers"": 3, ""output_size"": 30, ""return_sequence"": true, ""units"": 32}","{""Forecasting horizon"": 30, ""Past history"": 180, ""Scaler"": ""MinMaxScaler"", ""Data frequency"": ""1min"", ""Number days test"": 90}",3849.00989985,2.67825675,0.70298902,0.00392758,1.24422847,0.85715300,0.00392777
Oct19-Sep20-Oct20-Dic20_F1Last,LSTM_13,LSTM,13,"{""batch_size"": 512, ""dense_layers"": [], ""epochs"": 100, ""input_shape"": [529740, 180, 1], ""layers"": 3, ""output_size"": 30, ""return_sequence"": true, ""units"": 64}","{""Forecasting horizon"": 30, ""Past history"": 180, ""Scaler"": ""MinMaxScaler"", ""Data frequency"": ""1min"", ""Number days test"": 90}",3520.74731612,3.23395085,0.68782419,0.00387328,1.20844079,0.84385171,0.00387331
Oct19-Sep20-Oct20-Dic20_F1Last,LSTM_14,LSTM,14,"{""batch_size"": 512, ""dense_layers"": [], ""epochs"": 100, ""input_shape"": [529740, 180, 1], ""layers"": 3, ""output_size"": 30, ""return_sequence"": true, ""units"": 128}","{""Forecasting horizon"": 30, ""Past history"": 180, ""Scaler"": ""MinMaxScaler"", ""Data frequency"": ""1min"", ""Number days test"": 90}",4111.98854208,3.58997297,0.68353039,0.00386050,1.20063701,0.83949040,0.00386037
Oct19-Sep20-Oct20-Dic20_F1Last,LSTM_15,LSTM,15,"{""batch_size"": 512, ""dense_layers"": [], ""epochs"": 100, ""input_shape"": [529740, 180, 1], ""layers"": 3, ""output_size"": 30, ""return_sequence"": false, ""units"": 32}","{""Forecasting horizon"": 30, ""Past history"": 180, ""Scaler"": ""MinMaxScaler"", ""Data frequency"": ""1min"", ""Number days test"": 90}",3354.82843685,2.99908614,0.68829002,0.00390529,1.23476358,0.84678357,0.00390530
Oct19-Sep20-Oct20-Dic20_F1Last,LSTM_16,LSTM,16,"{""batch_size"": 512, ""dense_layers"": [], ""epochs"": 100, ""input_shape"": [529740, 180, 1], ""layers"": 3, ""output_size"": 30, ""return_sequence"": false, ""units"": 64}","{""Forecasting horizon"": 30, ""Past history"": 180, ""Scaler"": ""MinMaxScaler"", ""Data frequency"": ""1min"", ""Number days test"": 90}",3323.38036323,3.24333549,0.68123056,0.00388150,1.23507316,0.84336407,0.00388152
Oct19-Sep20-Oct20-Dic20_F1Last,LSTM_17,LSTM,17,"{""batch_size"": 512, ""dense_layers"": [], ""epochs"": 100, ""input_shape"": [529740, 180, 1], ""layers"": 3, ""output_size"": 30, ""return_sequence"": false, ""units"": 128}","{""Forecasting horizon"": 30, ""Past history"": 180, ""Scaler"": ""MinMaxScaler"", ""Data frequency"": ""1min"", ""Number days test"": 90}",3674.07376075,3.26850629,0.70159702,0.00398676,1.31721804,0.86712787,0.00398693
